gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Significance
ACTR3B,778.2205047234916,1.319461756691669,0.0885288709478719,14.904310227435325,3.0898700876675544e-50,1.0761979052232966e-48,Upregulated
SLPI,5341.057040707743,3.1936998220004886,0.214327113585726,14.901053667776292,3.2442270247755726e-50,1.1276207720896958e-48,Upregulated
COLCA2,71.88961144964391,2.223759243373157,0.14936574585406315,14.888013517810617,3.943118260576336e-50,1.3648880280114542e-48,Upregulated
TEX30,277.0834240683058,1.1256564611134354,0.07569068399763833,14.871796655299846,5.024658254296432e-50,1.728564810924764e-48,Upregulated
MSN,21540.740818668044,1.0608901072486938,0.07135881745458682,14.866979934523867,5.399466775084865e-50,1.853706507569013e-48,Upregulated
NOTCH1,3639.904594551412,1.0951088259984523,0.073723122418826,14.854346778437645,6.520035756786847e-50,2.2292945068215397e-48,Upregulated
ST8SIA1,443.2659277701523,1.9465359635939181,0.13107240986004356,14.850844397172445,6.869786516439784e-50,2.3441052040242097e-48,Upregulated
DMRTA2,15.949015254157224,4.2835868023033985,0.2889605536209171,14.824123045953776,1.023072634980647e-49,3.4767901611447576e-48,Upregulated
FOXC2,162.8162846758398,2.3445521198766373,0.15817048387164986,14.82294333612309,1.0412030561917332e-49,3.5312559408781444e-48,Upregulated
MAP3K21,559.0436542390491,1.828292726546936,0.12338633446670434,14.817627368939295,1.1269518172867792e-49,3.8143683686714614e-48,Upregulated
YES1,4678.483570991194,1.0232111730142361,0.06907455109413582,14.813142565628675,1.2047361541316212e-49,4.069438743573774e-48,Upregulated
MCCC1,1721.1022778110923,1.0411166581619256,0.07051093224791707,14.765322553123394,2.451466443768548e-49,8.11740012978035e-48,Upregulated
ART3,458.1568357255954,4.364369483402525,0.29606283284144147,14.741362303115885,3.496594979248752e-49,1.1509967943456478e-47,Upregulated
SLCO5A1,110.01190655760912,2.3609199081694943,0.16038233246119507,14.720573469279886,4.756098990166972e-49,1.5473912761031615e-47,Upregulated
CA6,55.22823538805698,4.892299425397052,0.3324038843807573,14.717936989548203,4.9451747917165226e-49,1.6057948627337908e-47,Upregulated
