patient_id,Complement,IL-6/JAK/STAT3 Signaling,Inflammatory Response,Interferon Alpha Response,Interferon Gamma Response,TNF-alpha Signaling via NF-kB
TCGA-A2-A0T3,2930.678373748746,2329.075573006081,1162.483947128425,4044.3730099385684,3132.360291023857,3683.722533625325
TCGA-A2-A0T4,3742.596195521717,3060.360089358066,2349.8881194327587,5824.673564886345,4779.362119844613,4597.570590450883
TCGA-A2-A0T6,3808.760255768031,3373.864054556274,2750.149717897415,4568.4466153201465,4256.718829956941,5120.746899769747
TCGA-A2-A0T7,3548.8915589521384,2577.187010571168,2162.5909616563313,4796.751797557192,3969.3202940482734,4362.412043944825
TCGA-A2-A0YD,3980.996961768131,3383.0610283678434,2847.2830502686174,5607.515420641803,4776.974993819507,5459.27399120534
TCGA-A2-A0YE,2892.9407999697596,2681.041250839671,1702.1110401957285,5075.795611167083,3875.0386997724636,3509.858461773725
TCGA-A2-A0YF,3679.338054211057,2572.906065779782,2001.0543662457512,4504.308019408469,3720.920705566381,3812.6996260961514
TCGA-A2-A0YG,3164.234829077137,1950.0444216570631,1343.878491891839,4245.3400260847975,3554.6724893801675,3262.4729094660506
TCGA-A2-A0YH,4077.499269254371,3627.5092937464724,2831.2389981214546,6993.908902098672,5626.012031402954,3933.0764362206955
TCGA-A2-A0YI,3932.5642615655233,3494.088198609619,2784.82373574373,5197.587031223533,4632.299016902998,4199.919849393553
TCGA-A2-A0YK,4123.106953320177,3730.562582446393,2825.4455722684015,5539.171405358393,5076.685423657778,5049.42797289951
TCGA-A2-A0YL,3373.485441372228,2648.1197354171272,2022.6729069974463,5007.127755896736,4134.249391822752,4670.459554044939
TCGA-A2-A1FV,2560.421201996245,1742.538900164891,1032.5415660448598,2144.615279116615,2162.5373938268804,3512.478210440444
TCGA-A2-A1FW,2815.9989822831685,1700.6722237844006,1204.968657917656,4757.852198752735,3696.500941512126,2957.3707995653403
TCGA-A2-A1FZ,3547.7381697180717,2859.8892367655753,2040.9088270774246,3855.3718037197505,3444.5161791361134,4239.6423661141325
TCGA-A2-A1G0,3304.0925710785323,2725.0964489076687,1964.7713533306523,4069.60445983739,3606.08819756905,4354.702815644989
TCGA-A2-A1G4,2973.7007327357805,2052.3729074306502,1481.244933505668,3672.6533655783824,2939.500839982038,3262.1209533116707
TCGA-A2-A1G6,3446.1254727700198,2800.116050831806,1951.2524061331933,3824.39204914529,3497.469454497863,4589.82993578035
TCGA-A2-A259,3600.454541297684,3418.4190042547634,2714.1032831357315,4707.126369314807,4289.983225120253,4983.3367181088415
TCGA-A2-A25C,3335.441190276835,2199.3992988186747,1873.5265594010216,6335.529271136436,4754.918334323213,3615.015485355303
TCGA-A2-A25D,3866.6217459415366,3419.854792032649,2929.820872570408,6869.047309363077,5653.401356075863,4893.689010477756
TCGA-A2-A25F,5027.488471236235,5029.51657926842,4122.640993606919,6516.243547859192,6278.305167378525,5515.182867325
TCGA-A2-A3KD,3241.9299384762708,2469.5572032738564,1850.5947860155557,3843.122383902055,3312.9596121194318,4138.463119268965
TCGA-A2-A3XT,3824.494595050406,3547.1943874984063,2725.937967339036,5439.680327731847,4808.941185895679,4656.226166599405
TCGA-A2-A3XX,3302.7306249549893,2611.706435609831,1721.8232046614721,4663.385113708786,3936.2428752739943,3886.911546758469
TCGA-A2-A3XZ,3698.180417291178,3266.543513216662,2201.661417567633,4966.10518735267,4528.310415459178,4102.705418122245
TCGA-A2-A3Y0,3646.5619135806664,3711.2805286908842,2452.047787546064,5761.3328221060765,4976.474848547527,4450.009269034374
TCGA-A2-A4RW,3052.4132972433345,2894.7187304101553,1697.9113900381853,4159.663822041186,3544.1405952637797,3695.69956655854
TCGA-A2-A4RX,3588.005125551512,3106.4369942653375,2434.7198415514285,4026.059078972352,3886.944740700743,5161.9855410737455
TCGA-A2-A4RY,3221.4378540953567,3004.4627397075546,2054.70800236381,4343.331832302356,3808.516579168132,4772.157250857295
TCGA-A2-A4S0,2508.505493423798,1634.4128230155038,760.3348545681602,3654.934012903772,2653.110932914382,3054.75227701979
TCGA-A2-A4S1,3992.685984552818,3435.3875667799875,2905.4911369239235,5830.857163769864,4896.873307987929,4378.714995561779
TCGA-A2-A4S2,3671.976668423291,3101.2679486633715,2457.69047250081,7533.926600361832,5715.891513938419,4382.096332115767
TCGA-A2-A4S3,3429.837830503251,2697.452429829518,1738.58231650963,5508.863525172479,4318.512217993137,3396.3273370942115
TCGA-A7-A0CG,3876.668134868569,3219.08314761791,2322.637860286399,4839.520894443918,4305.822805084463,4215.508721234228
TCGA-A7-A0CJ,3007.9190466254713,2281.74115226454,1617.0404610200676,5844.511767242122,4435.668843001547,3505.6084471383856
TCGA-A7-A0D9,2779.134324248691,1800.9283280505733,1002.229559008847,3164.725957858731,2491.4122629763533,3171.6558815227327
TCGA-A7-A0DA,3085.018696164141,2327.1365761613615,1813.9150674693665,4617.46682348554,3663.251321631169,4071.991036725669
TCGA-A7-A0DB,3537.9749994753493,2167.7285838402913,1746.976652612475,3651.8585850598374,3212.8375281767294,3226.796026668102
TCGA-A7-A13H,3756.4299437601294,3253.7385214710084,2395.457532180608,5183.789248135925,4444.081616263102,4433.004323956466
TCGA-A7-A26F,4028.6989083052013,3634.4559288898745,3461.9330261087653,6221.740758443466,5358.433510156861,4757.232373475341
TCGA-A7-A26G,4195.501060636931,3204.034706936689,2874.135506802011,4516.108471535785,4227.994730167937,4339.980280625949
TCGA-A7-A26J,3401.932298424741,2294.550141301932,1978.646286888652,6166.656590168852,4627.377731702933,3757.0424184868043
TCGA-A7-A2KD,3614.9918735934716,2914.144143158981,2311.586178330461,5826.684614003307,4627.8124793815805,4017.6681981196816
TCGA-A7-A3IY,3965.159581525737,3118.9504121113987,2840.401988270316,5415.236150639083,4493.386075959017,5081.938480059989
TCGA-A7-A3J0,3254.9944937876226,2197.111456120896,1137.2773064359135,4110.748136344819,3473.2463648737466,3320.601379725229
TCGA-A7-A426,3078.097971267689,2646.4298866431545,1576.268509168045,4524.291738261136,3635.5961556440925,4071.8237582489965
TCGA-A7-A4SA,3669.967872156796,3235.1907417922976,2325.083115324176,6109.358885006932,4972.31861629255,4392.059399094098
TCGA-A7-A4SB,2636.4264757726196,2053.1724942690053,1035.9098262958796,3844.5589773561715,2945.0346867065437,3524.624426788967
TCGA-A7-A4SE,3499.492423421105,3163.2365084724715,2340.553062042407,5944.136021839649,4621.878005915611,4886.3445506156495
TCGA-A7-A4SF,2770.7198373223564,2175.995087442974,1011.2156898206085,4532.862108725018,3551.5320988248586,2650.0578661478303
TCGA-A7-A56D,3430.794870386453,2413.0473970871353,2074.1130783430453,6386.033209264993,4728.900111729312,3582.101328114817
TCGA-A7-A5ZW,3332.932544261912,2570.512650085806,2079.465162161974,4249.601859780909,3733.953904436501,4234.061982457199
TCGA-A7-A5ZX,2881.524573255061,2100.647721990217,1297.156547529039,3821.164065176821,2947.238858439281,3784.0679522041937
TCGA-A7-A6VV,3674.23692954585,3188.0933407776047,2544.9560271868468,4335.143008953884,4041.209870040597,4686.259999870221
TCGA-A7-A6VW,3713.704841266672,3281.08576150897,2539.82131883723,6611.998818100643,5177.577745344808,4624.848486362154
TCGA-A7-A6VX,3209.152557620542,2473.174380466784,1632.2681328433755,5539.1298157049405,4190.161428010357,3632.0629801513096
TCGA-A7-A6VY,3956.107861159573,3740.6754407836215,3028.150729934083,6124.429991304278,5379.824979363426,4772.551695504426
TCGA-A8-A06N,2107.2126610146224,1887.5041343986977,711.1549950813242,5651.311058035984,3735.373469561717,2421.769848470527
TCGA-A8-A06O,3201.7589320630123,2258.790585863828,1357.9716761436011,4825.685504250005,3885.888017204963,3422.6252902331016
TCGA-A8-A06P,3329.1273962671785,2540.5153635091683,1874.8559713006907,3756.8851631928264,3241.7619980852087,3584.0813240548905
TCGA-A8-A06Q,2613.4252817724137,1339.0038980660884,593.6954245893176,3667.6692893574836,2794.2968704178056,2137.2771424912153
TCGA-A8-A06R,3711.3637151056973,2916.302575130998,2169.7852779387067,5415.939731897055,4593.964748684895,3889.1804559830343
TCGA-A8-A06X,3299.6852636949407,2696.922166306138,1767.6274611138451,6369.365639165726,4978.51301127913,4022.8294782306
TCGA-A8-A06Y,2776.0768248995937,1741.8134985487432,994.3302366006046,4831.266353789677,3483.9181523006137,2944.4918704376378
TCGA-A8-A06Z,2885.2977717119484,1729.6745783135848,840.3215235310254,4075.0144450667867,2852.5833776488507,2639.469223807697
TCGA-A8-A075,3741.3197172716336,3028.6574756050213,2257.893216018205,4783.960535021624,4266.735359753338,3542.520424677088
TCGA-A8-A076,3518.0625982959446,2341.0983205455013,1836.0554617348535,5501.357563331594,4315.024382527994,3356.928260726663
TCGA-A8-A079,2849.156602970501,2311.794734031464,1271.8734795656528,4269.444525209237,3332.0542046655955,2954.160228098697
TCGA-A8-A07B,3090.9737308742824,2094.497890327719,1612.8512032285253,4173.637908952454,3408.6893275990806,3410.6542234850476
TCGA-A8-A07C,3176.236525432172,2482.145260464111,1696.6946852668298,3517.034533410393,3378.0477368878583,3404.1983182560507
TCGA-A8-A07F,3392.0371428809704,2550.4704280521546,1740.4217459795564,4613.540106254557,3906.8927478479236,3521.200237594325
TCGA-A8-A07G,3630.1177070604663,2481.1412561154466,1863.1735617024879,4665.1712628074565,3981.2021708236043,3432.522112933153
TCGA-A8-A07I,3713.9052859597887,3067.0262273058834,2317.513266955275,6498.292388030166,5117.298772567918,4241.985927723254
TCGA-A8-A07J,3848.701177878842,2972.3731593629745,2147.2230227034597,5466.4467291392375,4383.565661866092,3537.28872668069
TCGA-A8-A07L,2746.177680490764,1981.0440983933804,976.0053903199187,3962.9143384668405,3114.58270962385,2685.2916533728694
TCGA-A8-A07O,3527.5620715033765,3136.5732447270166,2427.7656044410633,4030.2373324751425,3804.352957151201,4064.91138047578
TCGA-A8-A07P,3185.982618882781,2098.353895356504,1523.743312952991,4713.604032430909,3757.635962980381,3209.767506656901
TCGA-A8-A07R,3148.8869602014347,2620.8480032436582,1747.685104547856,6364.113692783641,4651.9249310249725,3169.6643113614864
TCGA-A8-A07S,3015.7801502335096,2220.275796935339,1407.6680646376499,4918.682368298834,3786.3023964067124,3222.8613810831775
TCGA-A8-A07U,4518.715986970859,4377.1549746726,3428.5736157197443,7525.474789624004,6543.6311923319045,4647.26084905222
TCGA-A8-A07W,3341.607854507154,2480.6323344109496,1868.086208750843,4151.310127643161,3483.980149158753,3460.511082615236
TCGA-A8-A07Z,3202.847937393977,2514.0045003345567,1587.8150001575104,5977.070133072368,4445.0036208215715,3445.063616346466
TCGA-A8-A081,3332.0959702929304,2702.1595683732066,1647.5013984072248,5196.308643024333,4364.279174911704,2715.306330365873
