Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Negative Regulation Of Heterochromatin Formation (GO:0031452),1/5,0.047332129861881,0.37551448264406,0,0,25.78515625,78.65931930618633,PHF1
GO_Biological_Process_2023,Adiponectin-Activated Signaling Pathway (GO:0033211),1/5,0.047332129861881,0.37551448264406,0,0,25.78515625,78.65931930618633,SLC27A1
GO_Biological_Process_2023,Regulation Of Pentose-Phosphate Shunt (GO:0043456),1/5,0.047332129861881,0.37551448264406,0,0,25.78515625,78.65931930618633,TP53
GO_Biological_Process_2023,Regulation Of Ribonuclease Activity (GO:0060700),1/5,0.047332129861881,0.37551448264406,0,0,25.78515625,78.65931930618633,OASL
GO_Biological_Process_2023,Phagosome Acidification (GO:0090383),1/5,0.047332129861881,0.37551448264406,0,0,25.78515625,78.65931930618633,RAB39A
GO_Biological_Process_2023,Regulation Of Thymocyte Apoptotic Process (GO:0070243),1/5,0.047332129861881,0.37551448264406,0,0,25.78515625,78.65931930618633,TP53
GO_Biological_Process_2023,Establishment Of Protein Localization To Telomere (GO:0070200),1/5,0.047332129861881,0.37551448264406,0,0,25.78515625,78.65931930618633,TERT
GO_Biological_Process_2023,Positive Regulation Of Microglial Cell Migration (GO:1904141),1/5,0.047332129861881,0.37551448264406,0,0,25.78515625,78.65931930618633,P2RX4
GO_Biological_Process_2023,Positive Regulation Of Monoatomic Ion Transmembrane Transport (GO:0034767),1/5,0.047332129861881,0.37551448264406,0,0,25.78515625,78.65931930618633,P2RX7
GO_Biological_Process_2023,Interleukin-27-Mediated Signaling Pathway (GO:0070106),1/5,0.047332129861881,0.37551448264406,0,0,25.78515625,78.65931930618633,OASL
GO_Biological_Process_2023,Isoleucine Metabolic Process (GO:0006549),1/5,0.047332129861881,0.37551448264406,0,0,25.78515625,78.65931930618633,ACAT1
GO_Biological_Process_2023,Maintenance Of DNA Repeat Elements (GO:0043570),1/5,0.047332129861881,0.37551448264406,0,0,25.78515625,78.65931930618633,TCF7L2
GO_Biological_Process_2023,Protein Localization To Non-Motile Cilium (GO:0097499),1/5,0.047332129861881,0.37551448264406,0,0,25.78515625,78.65931930618633,PCARE
GO_Biological_Process_2023,Negative Regulation Of PERK-mediated Unfolded Protein Response (GO:1903898),1/5,0.047332129861881,0.37551448264406,0,0,25.78515625,78.65931930618633,PPP1R15B
GO_Biological_Process_2023,Regulation Of Apoptotic DNA Fragmentation (GO:1902510),1/5,0.047332129861881,0.37551448264406,0,0,25.78515625,78.65931930618633,DFFA
GO_Biological_Process_2023,Regulation Of Interleukin-1 Beta Production (GO:0032651),3/84,0.047748944674426,0.37551448264406,0,0,3.845224171539961,11.696396399476628,P2RX7;GHSR;CASP8
GO_Biological_Process_2023,Calcium-Mediated Signaling (GO:0019722),3/85,0.0491566611081221,0.37551448264406,0,0,3.7981386392811296,11.44281527745017,P2RX7;P2RX4;CAMKK2
